lobby_issue_id,issue_name,issue_description,Year,Quarter,lobbying_expenses
756,ACC,Accounting,2013,4,2172347.52145191400
756,ACC,Accounting,2014,3,2545709.46904761899
756,ACC,Accounting,2015,2,2180009.64787581693
756,ACC,Accounting,2016,1,2242660.11981677698
756,ACC,Accounting,2016,4,1778243.68786075029
756,ACC,Accounting,2017,3,2329256.92536181133
756,ACC,Accounting,2018,2,2821406.00785617880
756,ACC,Accounting,2019,1,3211781.83809523803
756,ACC,Accounting,2019,4,3002852.48760667048
756,ACC,Accounting,2020,3,3028082.49403948391
756,ACC,Accounting,2021,2,2327907.10980392150
756,ACC,Accounting,2022,1,2626974.33426704010
756,ACC,Accounting,2022,4,2693086.85224089625
756,ACC,Accounting,2023,3,2396616.56498240316
756,ACC,Accounting,2024,2,2248907.21176046168
757,HOM,Homeland Security,2010,3,18509241.85609252936
757,HOM,Homeland Security,2011,2,18947392.22885014484
757,HOM,Homeland Security,2012,1,21722362.89259748345
758,ADV,Advertising,2019,4,2170512.86009852214
758,ADV,Advertising,2020,3,1871050.25768933708
758,ADV,Advertising,2021,2,1953178.87904252604
758,ADV,Advertising,2022,1,1876566.75789406666
758,ADV,Advertising,2022,4,2052472.60262286726
758,ADV,Advertising,2023,3,2233612.12757830402
758,ADV,Advertising,2024,2,2250708.09672783350
759,HOU,Housing,2010,3,6589689.16352027697
759,HOU,Housing,2011,2,6712573.21173606192
759,HOU,Housing,2012,1,6701486.25596817749
759,HOU,Housing,2012,4,7317745.56929232980
759,HOU,Housing,2013,3,6754055.10819295889
759,HOU,Housing,2014,2,7594879.90648926191
759,HOU,Housing,2015,1,6791525.72814113946
759,HOU,Housing,2015,4,6930389.04962899124
759,HOU,Housing,2016,3,6623455.59269758339
759,HOU,Housing,2017,2,6310177.43957622995
759,HOU,Housing,2018,1,7412870.33638612801
761,IMM,Immigration,2012,4,11175276.06092898986
761,IMM,Immigration,2013,3,20704447.34442266133
761,IMM,Immigration,2014,2,16589195.20525009296
761,IMM,Immigration,2015,1,13717147.53523457878
761,IMM,Immigration,2015,4,12925420.42167314900
761,IMM,Immigration,2016,3,11620180.47603367863
761,IMM,Immigration,2017,2,14412118.30829511608
761,IMM,Immigration,2018,1,17592263.24066090587
761,IMM,Immigration,2018,4,16794448.02598558891
761,IMM,Immigration,2019,3,15173023.44504184230
761,IMM,Immigration,2020,2,15103975.97018854173
761,IMM,Immigration,2021,1,16951689.60413644605
762,AGR,Agriculture,2010,2,14197909.53879699684
762,AGR,Agriculture,2011,1,14036528.36756783071
763,IND,Indian/Native American Affairs,2018,4,6451732.07139918887
763,IND,Indian/Native American Affairs,2019,3,6235410.88958117886
763,IND,Indian/Native American Affairs,2020,2,6860488.70514354902
763,IND,Indian/Native American Affairs,2021,1,5467831.43878782017
763,IND,Indian/Native American Affairs,2021,4,5323850.47825332546
763,IND,Indian/Native American Affairs,2022,3,6118213.76576359297
763,IND,Indian/Native American Affairs,2023,2,6528004.39887492605
763,IND,Indian/Native American Affairs,2024,1,6890808.16441227831
763,IND,Indian/Native American Affairs,2024,4,7194606.97075526796
764,ALC,Alcohol & Drug Abuse,2010,2,1359351.37957875451
764,ALC,Alcohol & Drug Abuse,2011,1,1081481.96165536584
764,ALC,Alcohol & Drug Abuse,2011,4,798126.36863335071
764,ALC,Alcohol & Drug Abuse,2012,3,1220714.96965811956
757,HOM,Homeland Security,2020,4,20420814.25094367145
757,HOM,Homeland Security,2021,3,20790119.47035122631
757,HOM,Homeland Security,2022,2,21787153.56566121279
757,HOM,Homeland Security,2023,1,21132747.13097353717
757,HOM,Homeland Security,2023,4,21079069.02115399972
757,HOM,Homeland Security,2024,3,22401140.57705339842
758,ADV,Advertising,2010,2,4678741.48239538225
758,ADV,Advertising,2011,1,4925477.90896293239
760,AER,Aerospace,2010,2,4040843.63761238744
760,AER,Aerospace,2011,1,4200680.72851037834
760,AER,Aerospace,2011,4,4134821.36470473955
760,AER,Aerospace,2012,3,4399086.98200688184
760,AER,Aerospace,2013,2,4396266.41129703612
760,AER,Aerospace,2014,1,3436707.78074776083
760,AER,Aerospace,2014,4,4020707.56348096329
760,AER,Aerospace,2015,3,3152463.93200263770
760,AER,Aerospace,2016,2,3488051.32102603263
760,AER,Aerospace,2017,1,4625460.12867541800
761,IMM,Immigration,2010,3,8049033.51238429981
761,IMM,Immigration,2011,2,8462451.85647508615
761,IMM,Immigration,2012,1,8163821.22050348536
762,AGR,Agriculture,2011,4,14642011.42056490834
762,AGR,Agriculture,2012,3,18763689.55325266901
762,AGR,Agriculture,2013,2,20520040.96007784042
762,AGR,Agriculture,2014,1,18138357.98841327711
762,AGR,Agriculture,2014,4,16869514.02273326125
762,AGR,Agriculture,2015,3,14389281.66858468249
762,AGR,Agriculture,2016,2,15523430.27486112486
762,AGR,Agriculture,2017,1,16601747.26998320224
762,AGR,Agriculture,2017,4,15916261.56363810994
762,AGR,Agriculture,2018,3,19938985.02269056542
762,AGR,Agriculture,2019,2,18931040.45520609994
762,AGR,Agriculture,2020,1,18760748.53513668554
763,IND,Indian/Native American Affairs,2010,3,5729765.38185286916
763,IND,Indian/Native American Affairs,2011,2,5477794.88083942184
763,IND,Indian/Native American Affairs,2012,1,6437660.05115771748
763,IND,Indian/Native American Affairs,2012,4,6759407.72291222275
763,IND,Indian/Native American Affairs,2013,3,6528693.89321789306
763,IND,Indian/Native American Affairs,2014,2,7199549.76457022834
763,IND,Indian/Native American Affairs,2015,1,7238843.74206349191
763,IND,Indian/Native American Affairs,2015,4,7012894.04166666648
763,IND,Indian/Native American Affairs,2016,3,7176787.53357753340
763,IND,Indian/Native American Affairs,2017,2,6309346.96022615360
763,IND,Indian/Native American Affairs,2018,1,7340305.88872238858
764,ALC,Alcohol & Drug Abuse,2014,4,1979122.82440476183
